class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	X and Y	active	experienced	active - passive	(\bactive) and (?!passive)(\b\w+)	46076	 Women who scored high in instrumentality (a traditional masculine attribute) and low in expressiveness (a traditional feminine attribute) were more sexually 	active and experienced	 than respondents with the three other possible combinations of these characteristics.	 Women who scored high in instrumentality (a traditional masculine attribute) and low in expressiveness (a traditional feminine attribute) were more sexually  active and experienced  than respondents with the three other possible combinations of these characteristics.
no	X and Y	active	ancient	active - passive	(\bactive) and (?!passive)(\b\w+)	42981	 Topper was an 	active and ancient	" quarry at the time, "" LeCompte said."	" Topper was an  active and ancient  quarry at the time, "" LeCompte said."
no	X and Y	active	engaging	active - passive	(\bactive) and (?!passive)(\b\w+)	21175	 In addition @ @ @ @ @ @ @ @ @ @ learning of the identified concepts in an 	active and engaging	 environment.	 In addition @ @ @ @ @ @ @ @ @ @ learning of the identified concepts in an  active and engaging  environment.
no	X and Y	constructive	active	active - passive	(?!passive)(\b\w+) and (\bactive)	7690	 And, to your point -- we need to celebrate those who are already making a difference and encourage those who have gripes to get off the sidelines and be 	constructive and active	 agents of change.	 And, to your point -- we need to celebrate those who are already making a difference and encourage those who have gripes to get off the sidelines and be  constructive and active  agents of change.
no	X and Y	active	busy	active - passive	(\bactive) and (?!passive)(\b\w+)	44354	 We're less reliant on our cars than previous generations, but we're 	active and busy	.	 We're less reliant on our cars than previous generations, but we're  active and busy .
no	X and Y	active	retired	active - passive	(\bactive) and (?!passive)(\b\w+)	3318	" "" Yet if you ask enough "	active and retired	 athletes often enough to spill their secrets, the village gates will fly open.	" "" Yet if you ask enough  active and retired  athletes often enough to spill their secrets, the village gates will fly open."
no	X and Y	adequate	active	active - passive	(?!passive)(\b\w+) and (\bactive)	48046	 with any State which establishes and maintains an 	adequate and active	 program for the conservation of endangered species and threatened species.	 with any State which establishes and maintains an  adequate and active  program for the conservation of endangered species and threatened species.
no	X and Y	active	influential	active - passive	(\bactive) and (?!passive)(\b\w+)	27674	 New York City boasts a highly 	active and influential	 theater district, which is centered around Times Square in Manhattan.	 New York City boasts a highly  active and influential  theater district, which is centered around Times Square in Manhattan.
no	X and Y	abundant	active	active - passive	(?!passive)(\b\w+) and (\bactive)	40090	 These levels of soil moisture would severely limit life in nearly all soil ecosystems, yet we recovered 	abundant and active	 nematode populations of S.	 These levels of soil moisture would severely limit life in nearly all soil ecosystems, yet we recovered  abundant and active  nematode populations of S.
no	X and Y	dank	active	active - passive	(?!passive)(\b\w+) and (\bactive)	14561	 Full of large tracks and droppings, the scrape was so 	dank and active	 that I knew Picket could n't ignore it.	 Full of large tracks and droppings, the scrape was so  dank and active  that I knew Picket could n't ignore it.
no	X and Y	excited	active	active - passive	(?!passive)(\b\w+) and (\bactive)	10104	 But here dogs are usually already under stress with house guests, and kids are often more 	excited and active	.	 But here dogs are usually already under stress with house guests, and kids are often more  excited and active .
no	X and Y	active	responsive	active - passive	(\bactive) and (?!passive)(\b\w+)	33832	 That had been so with Roy, who had tried to encourage her to play a more 	active and responsive	 role in their conjugal relations.	 That had been so with Roy, who had tried to encourage her to play a more  active and responsive  role in their conjugal relations.
no	X and Y	active	energetic	active - passive	(\bactive) and (?!passive)(\b\w+)	800	" "" As the days get longer, our bodies become more "	active and energetic	.	" "" As the days get longer, our bodies become more  active and energetic ."
no	X and Y	responsible	active	active - passive	(?!passive)(\b\w+) and (\bactive)	12308	 Discuss the rights, duties, and obligations of a 	responsible and active	 American citizen.	 Discuss the rights, duties, and obligations of a  responsible and active  American citizen.
no	X and Y	dull	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	17813	 I always against to student orientation which makes new students become 	dull and passive	.	 I always against to student orientation which makes new students become  dull and passive .
no	X and Y	inert	active	active - passive	(?!passive)(\b\w+) and (\bactive)	2187	" "" One, a cure for dizziness, advertises that it's a 55x dilution, which is homeopathic jargon meaning there's a 1:10 -55 ratio between its "	inert and active	 ingredients.	" "" One, a cure for dizziness, advertises that it's a 55x dilution, which is homeopathic jargon meaning there's a 1:10 -55 ratio between its  inert and active  ingredients."
no	X and Y	active	critical	active - passive	(\bactive) and (?!passive)(\b\w+)	26244	 Maintaining responsibility at more local levels will require that the technology educator play an 	active and critical	 role in all phases of development, delivery, and assessment.	 Maintaining responsibility at more local levels will require that the technology educator play an  active and critical  role in all phases of development, delivery, and assessment.
no	X and Y	passive	oblivious	active - passive	(\bpassive) and (?!active)(\b\w+)	6651	 America's on the brink but is citizens are too stupid, ignorant, cowardly, 	passive and oblivious	 to act.	 America's on the brink but is citizens are too stupid, ignorant, cowardly,  passive and oblivious  to act.
no	X and Y	honest	active	active - passive	(?!passive)(\b\w+) and (\bactive)	48955	As nation we are looking forward to any 	honest and active	 politician in the state of Pakistan.	As nation we are looking forward to any  honest and active  politician in the state of Pakistan.
no	X and Y	passive	reluctant	active - passive	(\bpassive) and (?!active)(\b\w+)	45694	 Why have we become so 	passive and reluctant	 to face up to the hard task of governing ourselves and our markets?	 Why have we become so  passive and reluctant  to face up to the hard task of governing ourselves and our markets?
no	X and Y	informed	active	active - passive	(?!passive)(\b\w+) and (\bactive)	16365	 Help build this third pillar for yourself and the rest of us by becoming 	informed and active	.	 Help build this third pillar for yourself and the rest of us by becoming  informed and active .
no	X and Y	literate	active	active - passive	(?!passive)(\b\w+) and (\bactive)	12119	 Democracies need a free press, 	literate and active	 population, rule of law, a constitution, checks and balances, and even a functioning economy to help them remain stable.	 Democracies need a free press,  literate and active  population, rule of law, a constitution, checks and balances, and even a functioning economy to help them remain stable.
no	X and Y	intelligent	active	active - passive	(?!passive)(\b\w+) and (\bactive)	36050	 The few who claim they like 	intelligent and active	 women are also @ @ @ @ @ @ @ @ @ @ in their kitchens.	 The few who claim they like  intelligent and active  women are also @ @ @ @ @ @ @ @ @ @ in their kitchens.
no	X and Y	active	decisive	active - passive	(\bactive) and (?!passive)(\b\w+)	472	" "" (n108) Over time, this would facilitate a more "	active and decisive	 role of the poor vis-a-vis locally powerful groups.	" "" (n108) Over time, this would facilitate a more  active and decisive  role of the poor vis-a-vis locally powerful groups."
